date,market,symbol,close,source
2008-07-04,HANGSENG,^HSI,21423.82031,Yahoo Finance via yfinance
2008-07-04,NIKKEI225,^N225,13237.88965,Yahoo Finance via yfinance
2008-07-07,DAX,^GDAXI,6395.75,Yahoo Finance via yfinance
2008-07-07,DOW,^DJI,11231.95996,Yahoo Finance via yfinance
2008-07-07,FTSE100,^FTSE,5512.700195,Yahoo Finance via yfinance
2008-07-07,HANGSENG,^HSI,21913.06055,Yahoo Finance via yfinance
2008-07-07,NASDAQ,^IXIC,2243.320068,Yahoo Finance via yfinance
2008-07-07,NIKKEI225,^N225,13360.04004,Yahoo Finance via yfinance
2008-07-07,SP500,^GSPC,1252.310059,Yahoo Finance via yfinance
2008-07-07,VIX,^VIX,25.78000069,Yahoo Finance via yfinance
2008-07-08,DAX,^GDAXI,6304.410156,Yahoo Finance via yfinance
2008-07-08,DOW,^DJI,11384.20996,Yahoo Finance via yfinance
2008-07-08,FTSE100,^FTSE,5440.5,Yahoo Finance via yfinance
2008-07-08,HANGSENG,^HSI,21220.81055,Yahoo Finance via yfinance
2008-07-08,NASDAQ,^IXIC,2294.439941,Yahoo Finance via yfinance
2008-07-08,NIKKEI225,^N225,13033.09961,Yahoo Finance via yfinance
2008-07-08,SP500,^GSPC,1273.699951,Yahoo Finance via yfinance
2008-07-08,VIX,^VIX,23.14999962,Yahoo Finance via yfinance
2008-07-09,DAX,^GDAXI,6386.459961,Yahoo Finance via yfinance
2008-07-09,DOW,^DJI,11147.44043,Yahoo Finance via yfinance
2008-07-09,FTSE100,^FTSE,5529.600098,Yahoo Finance via yfinance
2008-07-09,HANGSENG,^HSI,21805.81055,Yahoo Finance via yfinance
2008-07-09,NASDAQ,^IXIC,2234.889893,Yahoo Finance via yfinance
2008-07-09,NIKKEI225,^N225,13052.12988,Yahoo Finance via yfinance
2008-07-09,SP500,^GSPC,1244.689941,Yahoo Finance via yfinance
2008-07-09,VIX,^VIX,25.22999954,Yahoo Finance via yfinance
2008-07-10,DAX,^GDAXI,6305,Yahoo Finance via yfinance
2008-07-10,DOW,^DJI,11229.01953,Yahoo Finance via yfinance
2008-07-10,FTSE100,^FTSE,5406.799805,Yahoo Finance via yfinance
2008-07-10,HANGSENG,^HSI,21821.7793,Yahoo Finance via yfinance
2008-07-10,NASDAQ,^IXIC,2257.850098,Yahoo Finance via yfinance
2008-07-10,NIKKEI225,^N225,13067.20996,Yahoo Finance via yfinance
2008-07-10,SP500,^GSPC,1253.390015,Yahoo Finance via yfinance
2008-07-10,VIX,^VIX,25.59000015,Yahoo Finance via yfinance
2008-07-11,DAX,^GDAXI,6153.299805,Yahoo Finance via yfinance
2008-07-11,DOW,^DJI,11100.54004,Yahoo Finance via yfinance
2008-07-11,FTSE100,^FTSE,5261.600098,Yahoo Finance via yfinance
2008-07-11,HANGSENG,^HSI,22184.55078,Yahoo Finance via yfinance
2008-07-11,NASDAQ,^IXIC,2239.080078,Yahoo Finance via yfinance
2008-07-11,NIKKEI225,^N225,13039.69043,Yahoo Finance via yfinance
2008-07-11,SP500,^GSPC,1239.48999,Yahoo Finance via yfinance
2008-07-11,VIX,^VIX,27.48999977,Yahoo Finance via yfinance
2008-07-14,DAX,^GDAXI,6200.25,Yahoo Finance via yfinance
2008-07-14,DOW,^DJI,11055.19043,Yahoo Finance via yfinance
2008-07-14,FTSE100,^FTSE,5300.399902,Yahoo Finance via yfinance
2008-07-14,HANGSENG,^HSI,22014.46094,Yahoo Finance via yfinance
2008-07-14,NASDAQ,^IXIC,2212.870117,Yahoo Finance via yfinance
2008-07-14,NIKKEI225,^N225,13010.16016,Yahoo Finance via yfinance
2008-07-14,SP500,^GSPC,1228.300049,Yahoo Finance via yfinance
2008-07-14,VIX,^VIX,28.47999954,Yahoo Finance via yfinance
2008-07-15,DAX,^GDAXI,6081.700195,Yahoo Finance via yfinance
2008-07-15,DOW,^DJI,10962.54004,Yahoo Finance via yfinance
2008-07-15,FTSE100,^FTSE,5171.899902,Yahoo Finance via yfinance
2008-07-15,HANGSENG,^HSI,21174.76953,Yahoo Finance via yfinance
2008-07-15,NASDAQ,^IXIC,2215.709961,Yahoo Finance via yfinance
2008-07-15,NIKKEI225,^N225,12754.55957,Yahoo Finance via yfinance
2008-07-15,SP500,^GSPC,1214.910034,Yahoo Finance via yfinance
2008-07-15,VIX,^VIX,28.54000092,Yahoo Finance via yfinance
2008-07-16,DAX,^GDAXI,6155.370117,Yahoo Finance via yfinance
2008-07-16,DOW,^DJI,11239.28027,Yahoo Finance via yfinance
2008-07-16,FTSE100,^FTSE,5150.600098,Yahoo Finance via yfinance
2008-07-16,HANGSENG,^HSI,21223.5,Yahoo Finance via yfinance
